INFO 2020-11-04 20:06:59,414 basehttp 124 "POST /admin/home/banner/1/update/ HTTP/1.1" 302 0
INFO 2020-11-04 20:07:03,491 basehttp 124 "GET /admin/home/banner/ HTTP/1.1" 200 28591
INFO 2020-11-04 20:07:07,569 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-11-04 20:07:15,537 basehttp 124 "GET /admin/home/banner/add/ HTTP/1.1" 200 19825
INFO 2020-11-04 20:07:19,597 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-11-04 20:07:45,985 basehttp 124 "POST /admin/home/banner/add/ HTTP/1.1" 302 0
INFO 2020-11-04 20:07:50,082 basehttp 124 "GET /admin/home/banner/ HTTP/1.1" 200 29239
INFO 2020-11-04 20:07:54,137 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-11-04 20:08:01,523 basehttp 124 "GET /admin/home/banner/add/ HTTP/1.1" 200 19825
INFO 2020-11-04 20:08:05,579 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-11-04 20:10:11,580 basehttp 124 "POST /admin/home/banner/add/ HTTP/1.1" 302 0
INFO 2020-11-04 20:10:15,674 basehttp 124 "GET /admin/home/banner/ HTTP/1.1" 200 29823
INFO 2020-11-04 20:10:19,733 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-11-04 20:10:27,036 basehttp 124 "GET /admin/home/navigation/ HTTP/1.1" 200 24792
INFO 2020-11-04 20:10:31,079 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-11-04 20:10:50,796 basehttp 124 "GET /admin/home/banner/ HTTP/1.1" 200 29520
INFO 2020-11-04 20:10:54,841 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-11-04 20:11:00,888 basehttp 124 "GET /admin/home/navigation/ HTTP/1.1" 200 24792
INFO 2020-11-04 20:11:04,941 basehttp 124 "GET /admin/jsi18n/ HTTP/1.1" 200 3185
INFO 2020-11-04 20:15:15,912 basehttp 124 "GET /admin/home/navigation/add/ HTTP/1.1" 200 19192
INFO 2020-11-04 20:15:15,958 basehttp 124 "GET /static/xadmin/vendor/select2/select2.css HTTP/1.1" 200 19226
WARNING 2020-11-04 20:15:15,967 basehttp 124 "GET /static/xadmin/vendor/select2/select2_locale_en-us.js HTTP/1.1" 404 1764
